slug,url,keyword_1,vol_1,keyword_2,vol_2,best_keyword,best_vol,total_vol
england-vs-india,https://tabiji.ai/compare/england-vs-india/,england vs india,90500,india vs england,550000,india vs england,550000,640500
mexico-vs-usa,https://tabiji.ai/compare/mexico-vs-usa/,mexico vs usa,201000,usa vs mexico,165000,mexico vs usa,201000,366000
australia-vs-india,https://tabiji.ai/compare/australia-vs-india/,australia vs india,74000,india vs australia,201000,india vs australia,201000,275000
honduras-vs-mexico,https://tabiji.ai/compare/honduras-vs-mexico/,honduras vs mexico,49500,mexico vs honduras,165000,mexico vs honduras,165000,214500
india-vs-south-africa,https://tabiji.ai/compare/india-vs-south-africa/,india vs south africa,110000,south africa vs india,40500,india vs south africa,110000,150500
mexico-vs-panama,https://tabiji.ai/compare/mexico-vs-panama/,mexico vs panama,135000,panama vs mexico,8100,mexico vs panama,135000,143100
guatemala-vs-usa,https://tabiji.ai/compare/guatemala-vs-usa/,guatemala vs usa,49500,usa vs guatemala,90500,usa vs guatemala,90500,140000
georgia-vs-texas,https://tabiji.ai/compare/georgia-vs-texas/,georgia vs texas,27100,texas vs georgia,110000,texas vs georgia,110000,137100
argentina-vs-colombia,https://tabiji.ai/compare/argentina-vs-colombia/,argentina vs colombia,90500,colombia vs argentina,40500,argentina vs colombia,90500,131000
canada-vs-usa,https://tabiji.ai/compare/canada-vs-usa/,canada vs usa,33100,usa vs canada,74000,usa vs canada,74000,107100
canada-vs-mexico,https://tabiji.ai/compare/canada-vs-mexico/,canada vs mexico,27100,mexico vs canada,74000,mexico vs canada,74000,101100
brazil-vs-colombia,https://tabiji.ai/compare/brazil-vs-colombia/,brazil vs colombia,60500,colombia vs brazil,33100,brazil vs colombia,60500,93600
denmark-vs-portugal,https://tabiji.ai/compare/denmark-vs-portugal/,denmark vs portugal,18100,portugal vs denmark,74000,portugal vs denmark,74000,92100
germany-vs-portugal,https://tabiji.ai/compare/germany-vs-portugal/,germany vs portugal,49500,portugal vs germany,40500,germany vs portugal,49500,90000
florida-vs-georgia,https://tabiji.ai/compare/florida-vs-georgia/,florida vs georgia,9900,georgia vs florida,74000,georgia vs florida,74000,83900
