slug,url,keyword_1,vol_1,keyword_2,vol_2,best_keyword,best_vol,total_vol
japan-vs-mexico,https://tabiji.ai/compare/japan-vs-mexico/,japan vs mexico,4400,mexico vs japan,74000,mexico vs japan,74000,78400
south-korea-vs-mexico,https://tabiji.ai/compare/south-korea-vs-mexico/,south korea vs mexico,2900,mexico vs south korea,40500,mexico vs south korea,40500,43400
japan-vs-brazil,https://tabiji.ai/compare/japan-vs-brazil/,japan vs brazil,22200,brazil vs japan,8100,japan vs brazil,22200,30300
bahrain-vs-japan,https://tabiji.ai/compare/bahrain-vs-japan/,bahrain vs japan,5400,japan vs bahrain,4400,bahrain vs japan,5400,9800
south-korea-vs-oman,https://tabiji.ai/compare/south-korea-vs-oman/,south korea vs oman,4400,oman vs south korea,2900,south korea vs oman,4400,7300
japan-vs-australia,https://tabiji.ai/compare/japan-vs-australia/,japan vs australia,1300,australia vs japan,1900,australia vs japan,1900,3200
vietnam-vs-singapore,https://tabiji.ai/compare/vietnam-vs-singapore/,vietnam vs singapore,1600,singapore vs vietnam,1600,vietnam vs singapore,1600,3200
south-korea-vs-jordan,https://tabiji.ai/compare/south-korea-vs-jordan/,south korea vs jordan,2400,jordan vs south korea,390,south korea vs jordan,2400,2790
hong-kong-vs-sri-lanka,https://tabiji.ai/compare/hong-kong-vs-sri-lanka/,hong kong vs sri lanka,2400,sri lanka vs hong kong,320,hong kong vs sri lanka,2400,2720
taiwan-vs-thailand,https://tabiji.ai/compare/taiwan-vs-thailand/,taiwan vs thailand,1600,thailand vs taiwan,880,taiwan vs thailand,1600,2480
japan-vs-colombia,https://tabiji.ai/compare/japan-vs-colombia/,japan vs colombia,1600,colombia vs japan,720,japan vs colombia,1600,2320
japan-vs-spain,https://tabiji.ai/compare/japan-vs-spain/,japan vs spain,1300,spain vs japan,1000,japan vs spain,1300,2300
south-korea-vs-china,https://tabiji.ai/compare/south-korea-vs-china/,south korea vs china,1900,china vs south korea,210,south korea vs china,1900,2110
japan-vs-netherlands,https://tabiji.ai/compare/japan-vs-netherlands/,japan vs netherlands,50,netherlands vs japan,1900,netherlands vs japan,1900,1950
hong-kong-vs-south-korea,https://tabiji.ai/compare/hong-kong-vs-south-korea/,hong kong vs south korea,1000,south korea vs hong kong,880,hong kong vs south korea,1000,1880
japan-vs-germany,https://tabiji.ai/compare/japan-vs-germany/,japan vs germany,720,germany vs japan,880,germany vs japan,880,1600
