slug,url,keyword_1,vol_1,keyword_2,vol_2,best_keyword,best_vol,total_vol
portugal-vs-spain,https://tabiji.ai/compare/portugal-vs-spain/,portugal vs spain,301000,spain vs portugal,165000,portugal vs spain,301000,466000
spain-vs-france,https://tabiji.ai/compare/spain-vs-france/,spain vs france,165000,france vs spain,60500,spain vs france,165000,225500
colombia-vs-mexico,https://tabiji.ai/compare/colombia-vs-mexico/,colombia vs mexico,18100,mexico vs colombia,110000,mexico vs colombia,110000,128100
valencia-vs-barcelona,https://tabiji.ai/compare/valencia-vs-barcelona/,valencia vs barcelona,40500,barcelona vs valencia,74000,barcelona vs valencia,74000,114500
costa-rica-vs-mexico,https://tabiji.ai/compare/costa-rica-vs-mexico/,costa rica vs mexico,2900,mexico vs costa rica,49500,mexico vs costa rica,49500,52400
madrid-vs-barcelona,https://tabiji.ai/compare/madrid-vs-barcelona/,madrid vs barcelona,49500,barcelona vs madrid,18100,madrid vs barcelona,49500,67600
chile-vs-argentina,https://tabiji.ai/compare/chile-vs-argentina/,chile vs argentina,40500,argentina vs chile,22200,chile vs argentina,40500,62700
colombia-vs-peru,https://tabiji.ai/compare/colombia-vs-peru/,colombia vs peru,27100,peru vs colombia,6600,colombia vs peru,27100,33700
peru-vs-ecuador,https://tabiji.ai/compare/peru-vs-ecuador/,peru vs ecuador,22200,ecuador vs peru,12100,peru vs ecuador,22200,34300
peru-vs-bolivia,https://tabiji.ai/compare/peru-vs-bolivia/,peru vs bolivia,14800,bolivia vs peru,1600,peru vs bolivia,14800,16400
france-vs-england,https://tabiji.ai/compare/france-vs-england/,france vs england,5400,england vs france,1600,france vs england,5400,7000
georgia-vs-armenia,https://tabiji.ai/compare/georgia-vs-armenia/,georgia vs armenia,4400,armenia vs georgia,5400,armenia vs georgia,5400,9800
morocco-vs-jordan,https://tabiji.ai/compare/morocco-vs-jordan/,morocco vs jordan,2900,jordan vs morocco,5400,jordan vs morocco,5400,8300
greece-vs-turkey,https://tabiji.ai/compare/greece-vs-turkey/,greece vs turkey,4400,turkey vs greece,4400,greece vs turkey,4400,8800
croatia-vs-montenegro,https://tabiji.ai/compare/croatia-vs-montenegro/,croatia vs montenegro,3600,montenegro vs croatia,170,croatia vs montenegro,3600,3770
new-zealand-vs-australia,https://tabiji.ai/compare/new-zealand-vs-australia/,new zealand vs australia,3600,australia vs new zealand,1900,new zealand vs australia,3600,5500
nice-vs-monaco,https://tabiji.ai/compare/nice-vs-monaco/,nice vs monaco,260,monaco vs nice,3600,monaco vs nice,3600,3860
peru-vs-argentina,https://tabiji.ai/compare/peru-vs-argentina/,peru vs argentina,1000,argentina vs peru,3600,argentina vs peru,3600,4600
spain-vs-italy,https://tabiji.ai/compare/spain-vs-italy/,spain vs italy,1900,italy vs spain,3600,italy vs spain,3600,5500
vietnam-vs-thailand,https://tabiji.ai/compare/vietnam-vs-thailand/,vietnam vs thailand,3600,thailand vs vietnam,2400,vietnam vs thailand,3600,6000
colombia-vs-ecuador,https://tabiji.ai/compare/colombia-vs-ecuador/,colombia vs ecuador,2900,ecuador vs colombia,1600,colombia vs ecuador,2900,4500
guatemala-vs-mexico,https://tabiji.ai/compare/guatemala-vs-mexico/,guatemala vs mexico,1900,mexico vs guatemala,2900,mexico vs guatemala,2900,4800
ireland-vs-england,https://tabiji.ai/compare/ireland-vs-england/,ireland vs england,2900,england vs ireland,1300,ireland vs england,2900,4200
japan-vs-south-korea,https://tabiji.ai/compare/japan-vs-south-korea/,japan vs south korea,1900,south korea vs japan,2900,south korea vs japan,2900,4800
uzbekistan-vs-iran,https://tabiji.ai/compare/uzbekistan-vs-iran/,uzbekistan vs iran,880,iran vs uzbekistan,2900,iran vs uzbekistan,2900,3780
boston-vs-new-york,https://tabiji.ai/compare/boston-vs-new-york/,boston vs new york,2400,new york vs boston,1300,boston vs new york,2400,3700
dallas-vs-houston,https://tabiji.ai/compare/dallas-vs-houston/,dallas vs houston,2400,houston vs dallas,1900,dallas vs houston,2400,4300
dubai-vs-abu-dhabi,https://tabiji.ai/compare/dubai-vs-abu-dhabi/,dubai vs abu dhabi,1300,abu dhabi vs dubai,2400,abu dhabi vs dubai,2400,3700
georgia-vs-turkey,https://tabiji.ai/compare/georgia-vs-turkey/,georgia vs turkey,1900,turkey vs georgia,2400,turkey vs georgia,2400,4300
greece-vs-spain,https://tabiji.ai/compare/greece-vs-spain/,greece vs spain,260,spain vs greece,2400,spain vs greece,2400,2660
italy-vs-france,https://tabiji.ai/compare/italy-vs-france/,italy vs france,2400,france vs italy,1300,italy vs france,2400,3700
japan-vs-china,https://tabiji.ai/compare/japan-vs-china/,japan vs china,1600,china vs japan,2400,china vs japan,2400,4000
kauai-vs-maui,https://tabiji.ai/compare/kauai-vs-maui/,kauai vs maui,1600,maui vs kauai,2400,maui vs kauai,2400,4000
morocco-vs-tunisia,https://tabiji.ai/compare/morocco-vs-tunisia/,morocco vs tunisia,2400,tunisia vs morocco,260,morocco vs tunisia,2400,2660
norway-vs-finland,https://tabiji.ai/compare/norway-vs-finland/,norway vs finland,2400,finland vs norway,590,norway vs finland,2400,2990
oman-vs-uae,https://tabiji.ai/compare/oman-vs-uae/,oman vs uae,720,uae vs oman,2400,uae vs oman,2400,3120
puerto-rico-vs-dominican-republic,https://tabiji.ai/compare/puerto-rico-vs-dominican-republic/,puerto rico vs dominican republic,2400,dominican republic vs puerto rico,880,puerto rico vs dominican republic,2400,3280
thailand-vs-cambodia,https://tabiji.ai/compare/thailand-vs-cambodia/,thailand vs cambodia,2400,cambodia vs thailand,1300,thailand vs cambodia,2400,3700
chicago-vs-new-york,https://tabiji.ai/compare/chicago-vs-new-york/,chicago vs new york,1900,new york vs chicago,590,chicago vs new york,1900,2490
denmark-vs-sweden,https://tabiji.ai/compare/denmark-vs-sweden/,denmark vs sweden,1900,sweden vs denmark,1000,denmark vs sweden,1900,2900
italy-vs-portugal,https://tabiji.ai/compare/italy-vs-portugal/,italy vs portugal,1300,portugal vs italy,1900,portugal vs italy,1900,3200
jordan-vs-egypt,https://tabiji.ai/compare/jordan-vs-egypt/,jordan vs egypt,590,egypt vs jordan,1900,egypt vs jordan,1900,2490
lisbon-vs-porto,https://tabiji.ai/compare/lisbon-vs-porto/,lisbon vs porto,1000,porto vs lisbon,1900,porto vs lisbon,1900,2900
lyon-vs-marseille,https://tabiji.ai/compare/lyon-vs-marseille/,lyon vs marseille,1900,marseille vs lyon,1300,lyon vs marseille,1900,3200
madrid-vs-valencia,https://tabiji.ai/compare/madrid-vs-valencia/,madrid vs valencia,1900,valencia vs madrid,390,madrid vs valencia,1900,2290
marseille-vs-nice,https://tabiji.ai/compare/marseille-vs-nice/,marseille vs nice,880,nice vs marseille,1900,nice vs marseille,1900,2780
milan-vs-barcelona,https://tabiji.ai/compare/milan-vs-barcelona/,milan vs barcelona,1600,barcelona vs milan,1900,barcelona vs milan,1900,3500
orlando-vs-miami,https://tabiji.ai/compare/orlando-vs-miami/,orlando vs miami,1900,miami vs orlando,1900,orlando vs miami,1900,3800
osaka-vs-kyoto,https://tabiji.ai/compare/osaka-vs-kyoto/,osaka vs kyoto,1600,kyoto vs osaka,1900,kyoto vs osaka,1900,3500
oxford-vs-cambridge,https://tabiji.ai/compare/oxford-vs-cambridge/,oxford vs cambridge,1900,cambridge vs oxford,1300,oxford vs cambridge,1900,3200
portugal-vs-croatia,https://tabiji.ai/compare/portugal-vs-croatia/,portugal vs croatia,1900,croatia vs portugal,1000,portugal vs croatia,1900,2900
scotland-vs-ireland,https://tabiji.ai/compare/scotland-vs-ireland/,scotland vs ireland,1900,ireland vs scotland,1600,scotland vs ireland,1900,3500
toronto-vs-montreal,https://tabiji.ai/compare/toronto-vs-montreal/,toronto vs montreal,1900,montreal vs toronto,720,toronto vs montreal,1900,2620
atlanta-vs-miami,https://tabiji.ai/compare/atlanta-vs-miami/,atlanta vs miami,1000,miami vs atlanta,1600,miami vs atlanta,1600,2600
bologna-vs-parma,https://tabiji.ai/compare/bologna-vs-parma/,bologna vs parma,110,parma vs bologna,1600,parma vs bologna,1600,1710
cabo-vs-cancun,https://tabiji.ai/compare/cabo-vs-cancun/,cabo vs cancun,1600,cancun vs cabo,880,cabo vs cancun,1600,2480
greece-vs-italy,https://tabiji.ai/compare/greece-vs-italy/,greece vs italy,1600,italy vs greece,260,greece vs italy,1600,1860
lyon-vs-paris,https://tabiji.ai/compare/lyon-vs-paris/,lyon vs paris,1600,paris vs lyon,320,lyon vs paris,1600,1920
maui-vs-oahu,https://tabiji.ai/compare/maui-vs-oahu/,maui vs oahu,1600,oahu vs maui,1000,maui vs oahu,1600,2600
mykonos-vs-santorini,https://tabiji.ai/compare/mykonos-vs-santorini/,mykonos vs santorini,1600,santorini vs mykonos,1300,mykonos vs santorini,1600,2900
oman-vs-morocco,https://tabiji.ai/compare/oman-vs-morocco/,oman vs morocco,1600,morocco vs oman,260,oman vs morocco,1600,1860
paris-vs-barcelona,https://tabiji.ai/compare/paris-vs-barcelona/,paris vs barcelona,1600,barcelona vs paris,1600,paris vs barcelona,1600,3200
portugal-vs-morocco,https://tabiji.ai/compare/portugal-vs-morocco/,portugal vs morocco,720,morocco vs portugal,1600,morocco vs portugal,1600,2320
austin-vs-nashville,https://tabiji.ai/compare/austin-vs-nashville/,austin vs nashville,880,nashville vs austin,1300,nashville vs austin,1300,2180
oman-vs-jordan,https://tabiji.ai/compare/oman-vs-jordan/,oman vs jordan,1300,jordan vs oman,1300,oman vs jordan,1300,2600
portland-vs-seattle,https://tabiji.ai/compare/portland-vs-seattle/,portland vs seattle,1300,seattle vs portland,1300,portland vs seattle,1300,2600
quebec-city-vs-montreal,https://tabiji.ai/compare/quebec-city-vs-montreal/,quebec city vs montreal,720,montreal vs quebec city,1300,montreal vs quebec city,1300,2020
savannah-vs-charleston,https://tabiji.ai/compare/savannah-vs-charleston/,savannah vs charleston,590,charleston vs savannah,1300,charleston vs savannah,1300,1890
toronto-vs-vancouver,https://tabiji.ai/compare/toronto-vs-vancouver/,toronto vs vancouver,1300,vancouver vs toronto,880,toronto vs vancouver,1300,2180
amalfi-coast-vs-cinque-terre,https://tabiji.ai/compare/amalfi-coast-vs-cinque-terre/,amalfi coast vs cinque terre,880,cinque terre vs amalfi coast,1000,cinque terre vs amalfi coast,1000,1880
boston-vs-philadelphia,https://tabiji.ai/compare/boston-vs-philadelphia/,boston vs philadelphia,1000,philadelphia vs boston,590,boston vs philadelphia,1000,1590
cancun-vs-tulum,https://tabiji.ai/compare/cancun-vs-tulum/,cancun vs tulum,480,tulum vs cancun,1000,tulum vs cancun,1000,1480
edinburgh-vs-glasgow,https://tabiji.ai/compare/edinburgh-vs-glasgow/,edinburgh vs glasgow,880,glasgow vs edinburgh,1000,glasgow vs edinburgh,1000,1880
germany-vs-austria,https://tabiji.ai/compare/germany-vs-austria/,germany vs austria,720,austria vs germany,1000,austria vs germany,1000,1720
maui-vs-big-island,https://tabiji.ai/compare/maui-vs-big-island/,maui vs big island,1000,big island vs maui,260,maui vs big island,1000,1260
naxos-vs-paros,https://tabiji.ai/compare/naxos-vs-paros/,naxos vs paros,1000,paros vs naxos,880,naxos vs paros,1000,1880
san-francisco-vs-los-angeles,https://tabiji.ai/compare/san-francisco-vs-los-angeles/,san francisco vs los angeles,1000,los angeles vs san francisco,720,san francisco vs los angeles,1000,1720
tokyo-vs-osaka,https://tabiji.ai/compare/tokyo-vs-osaka/,tokyo vs osaka,480,osaka vs tokyo,1000,osaka vs tokyo,1000,1480
vietnam-vs-laos,https://tabiji.ai/compare/vietnam-vs-laos/,vietnam vs laos,390,laos vs vietnam,1000,laos vs vietnam,1000,1390
yosemite-vs-yellowstone,https://tabiji.ai/compare/yosemite-vs-yellowstone/,yosemite vs yellowstone,1000,yellowstone vs yosemite,880,yosemite vs yellowstone,1000,1880
bora-bora-vs-maldives,https://tabiji.ai/compare/bora-bora-vs-maldives/,bora bora vs maldives,880,maldives vs bora bora,720,bora bora vs maldives,880,1600
chicago-vs-miami,https://tabiji.ai/compare/chicago-vs-miami/,chicago vs miami,880,miami vs chicago,880,chicago vs miami,880,1760
japan-vs-korea,https://tabiji.ai/compare/japan-vs-korea/,japan vs korea,880,korea vs japan,720,japan vs korea,880,1600
norway-vs-sweden,https://tabiji.ai/compare/norway-vs-sweden/,norway vs sweden,880,sweden vs norway,720,norway vs sweden,880,1600
philippines-vs-indonesia,https://tabiji.ai/compare/philippines-vs-indonesia/,philippines vs indonesia,170,indonesia vs philippines,880,indonesia vs philippines,880,1050
philippines-vs-thailand,https://tabiji.ai/compare/philippines-vs-thailand/,philippines vs thailand,720,thailand vs philippines,880,thailand vs philippines,880,1600
portland-vs-denver,https://tabiji.ai/compare/portland-vs-denver/,portland vs denver,480,denver vs portland,880,denver vs portland,880,1360
san-diego-vs-los-angeles,https://tabiji.ai/compare/san-diego-vs-los-angeles/,san diego vs los angeles,880,los angeles vs san diego,320,san diego vs los angeles,880,1200
tampa-vs-miami,https://tabiji.ai/compare/tampa-vs-miami/,tampa vs miami,880,miami vs tampa,390,tampa vs miami,880,1270
tokyo-vs-kyoto,https://tabiji.ai/compare/tokyo-vs-kyoto/,tokyo vs kyoto,720,kyoto vs tokyo,880,kyoto vs tokyo,880,1600
aruba-vs-curacao,https://tabiji.ai/compare/aruba-vs-curacao/,aruba vs curacao,590,curacao vs aruba,720,curacao vs aruba,720,1310
bali-vs-thailand,https://tabiji.ai/compare/bali-vs-thailand/,bali vs thailand,720,thailand vs bali,260,bali vs thailand,720,980
bermuda-vs-bahamas,https://tabiji.ai/compare/bermuda-vs-bahamas/,bermuda vs bahamas,720,bahamas vs bermuda,320,bermuda vs bahamas,720,1040
costa-rica-vs-panama,https://tabiji.ai/compare/costa-rica-vs-panama/,costa rica vs panama,720,panama vs costa rica,720,costa rica vs panama,720,1440
hanoi-vs-ho-chi-minh,https://tabiji.ai/compare/hanoi-vs-ho-chi-minh/,hanoi vs ho chi minh,720,ho chi minh vs hanoi,210,hanoi vs ho chi minh,720,930
hiroshima-vs-nagasaki,https://tabiji.ai/compare/hiroshima-vs-nagasaki/,hiroshima vs nagasaki,720,nagasaki vs hiroshima,20,hiroshima vs nagasaki,720,740
malmo-vs-copenhagen,https://tabiji.ai/compare/malmo-vs-copenhagen/,malmo vs copenhagen,720,copenhagen vs malmo,40,malmo vs copenhagen,720,760
melbourne-vs-sydney,https://tabiji.ai/compare/melbourne-vs-sydney/,melbourne vs sydney,720,sydney vs melbourne,590,melbourne vs sydney,720,1310
