Top pages,Clicks,Impressions,CTR,Position
https://tabiji.ai/compare/bishkek-vs-almaty/,9,499,1.8%,7.62
https://tabiji.ai/compare/tirana-vs-sofia/,9,201,4.48%,6.96
https://tabiji.ai/compare/south-korea-vs-taiwan/,8,577,1.39%,10.28
https://tabiji.ai/compare/st-lucia-vs-martinique/,8,387,2.07%,7.06
https://tabiji.ai/compare/tonga-vs-fiji/,7,265,2.64%,8
https://tabiji.ai/compare/cook-islands-vs-samoa/,6,497,1.21%,7.72
https://tabiji.ai/compare/shenzhen-vs-hong-kong/,6,423,1.42%,7.29
https://tabiji.ai/compare/essaouira-vs-taghazout/,6,277,2.17%,8.03
https://tabiji.ai/compare/sao-tome-vs-cape-verde/,6,98,6.12%,7.12
https://tabiji.ai/compare/lake-bled-vs-hallstatt/,6,97,6.19%,6.54
https://tabiji.ai/compare/bhutan-vs-ladakh/,5,235,2.13%,6.71
https://tabiji.ai/compare/faroe-islands-vs-lofoten/,5,187,2.67%,8.39
https://tabiji.ai/compare/iceland-vs-ireland/,4,819,0.49%,13.81
https://tabiji.ai/compare/osaka-vs-fukuoka/,4,584,0.68%,6.73
https://tabiji.ai/compare/samoa-vs-tonga/,4,464,0.86%,9.61
https://tabiji.ai/compare/bukhara-vs-khiva/,4,192,2.08%,8.19
https://tabiji.ai/compare/st-barts-vs-maldives/,4,116,3.45%,4.36
https://tabiji.ai/compare/luang-prabang-vs-siem-reap/,4,57,7.02%,8.07
https://tabiji.ai/compare/naoshima-vs-teshima/,4,46,8.7%,8.02
https://tabiji.ai/compare/paris-vs-amsterdam/,3,727,0.41%,9.91
https://tabiji.ai/compare/malta-vs-sicily/,3,550,0.55%,9.36
https://tabiji.ai/compare/cyprus-vs-crete/,3,491,0.61%,14.81
https://tabiji.ai/compare/norway-vs-iceland/,3,454,0.66%,20.11
https://tabiji.ai/compare/new-caledonia-vs-fiji/,3,438,0.68%,7.3
https://tabiji.ai/compare/dominica-vs-st-lucia/,3,368,0.82%,7.7
https://tabiji.ai/compare/vanuatu-vs-new-caledonia/,3,330,0.91%,9.87
https://tabiji.ai/compare/belize-vs-panama/,3,234,1.28%,8.24
https://tabiji.ai/compare/taipei-vs-hong-kong/,3,212,1.42%,7.48
https://tabiji.ai/compare/shanghai-vs-seoul/,3,210,1.43%,6.44
https://tabiji.ai/compare/montevideo-vs-santiago/,3,197,1.52%,7.55
https://tabiji.ai/compare/rome-vs-london/,3,188,1.6%,10.91
https://tabiji.ai/compare/japan-vs-sri-lanka/,3,162,1.85%,5.65
https://tabiji.ai/compare/bratislava-vs-ljubljana/,3,132,2.27%,7.31
https://tabiji.ai/compare/medellin-vs-lima/,3,121,2.48%,7.42
https://tabiji.ai/compare/halifax-vs-st-johns/,3,120,2.5%,6.95
https://tabiji.ai/compare/porto-vs-madrid/,3,107,2.8%,5.67
https://tabiji.ai/compare/gothenburg-vs-malmo/,3,85,3.53%,8.21
https://tabiji.ai/compare/yunnan-vs-sichuan/,3,81,3.7%,7.05
https://tabiji.ai/compare/ohrid-vs-kotor/,3,63,4.76%,6.62
https://tabiji.ai/compare/algarve-vs-costa-brava/,3,42,7.14%,9.6
https://tabiji.ai/compare/croatia-vs-montenegro/,2,2112,0.09%,10.44
https://tabiji.ai/compare/puerto-rico-vs-dominican-republic/,2,1035,0.19%,6.72
https://tabiji.ai/compare/costa-rica-vs-hawaii/,2,975,0.21%,13.09
https://tabiji.ai/compare/tokyo-vs-seoul/,2,650,0.31%,9.69
https://tabiji.ai/compare/addis-ababa-vs-nairobi/,2,423,0.47%,8.39
https://tabiji.ai/compare/morocco-vs-turkey/,2,405,0.49%,15.28
https://tabiji.ai/compare/cyprus-vs-malta/,2,378,0.53%,23.07
https://tabiji.ai/compare/tashkent-vs-samarkand/,2,337,0.59%,7.17
https://tabiji.ai/compare/mexico-city-vs-buenos-aires/,2,329,0.61%,8.42
https://tabiji.ai/compare/india-vs-nepal/,2,300,0.67%,12
https://tabiji.ai/compare/croatia-vs-turkey/,2,289,0.69%,10.52
https://tabiji.ai/compare/chile-vs-peru/,2,285,0.7%,7.98
https://tabiji.ai/compare/tbilisi-vs-yerevan/,2,255,0.78%,8.51
https://tabiji.ai/compare/sarajevo-vs-belgrade/,2,245,0.82%,7.65
https://tabiji.ai/compare/hawaii-vs-cook-islands/,2,229,0.87%,7.97
https://tabiji.ai/compare/guangzhou-vs-hong-kong/,2,212,0.94%,8.6
https://tabiji.ai/compare/xi-an-vs-beijing/,2,212,0.94%,9
https://tabiji.ai/compare/st-kitts-vs-antigua/,2,209,0.96%,11.45
https://tabiji.ai/compare/grenada-vs-barbados/,2,204,0.98%,8.69
https://tabiji.ai/compare/krabi-vs-koh-lanta/,2,198,1.01%,10.29
https://tabiji.ai/compare/malmo-vs-copenhagen/,2,196,1.02%,7.95
https://tabiji.ai/compare/mumbai-vs-bangalore/,2,153,1.31%,8.24
https://tabiji.ai/compare/solomon-islands-vs-vanuatu/,2,146,1.37%,6.01
https://tabiji.ai/compare/ecuador-vs-guatemala/,2,133,1.5%,7.53
https://tabiji.ai/compare/mombasa-vs-zanzibar/,2,124,1.61%,9.97
https://tabiji.ai/compare/amed-vs-nusa-penida/,2,113,1.77%,8.32
https://tabiji.ai/compare/tbilisi-vs-tirana/,2,110,1.82%,7.01
https://tabiji.ai/compare/jakarta-vs-singapore/,2,108,1.85%,6.94
https://tabiji.ai/compare/dublin-vs-london/,2,102,1.96%,11.4
https://tabiji.ai/compare/gangneung-vs-sokcho/,2,99,2.02%,7.14
https://tabiji.ai/compare/jeonju-vs-busan/,2,99,2.02%,10.34
https://tabiji.ai/compare/jiufen-vs-shifen/,2,86,2.33%,8.6
https://tabiji.ai/compare/naples-vs-palermo/,2,83,2.41%,8.17
https://tabiji.ai/compare/japan-vs-indonesia/,2,73,2.74%,9.77
https://tabiji.ai/compare/almaty-vs-tashkent/,2,66,3.03%,6.23
https://tabiji.ai/compare/shikoku-vs-kyushu/,2,54,3.7%,8.09
https://tabiji.ai/compare/tokyo-vs-nagano/,2,51,3.92%,7
https://tabiji.ai/compare/tokyo-vs-busan/,2,50,4%,5.62
https://tabiji.ai/compare/nepal-vs-oman/,2,35,5.71%,5.51
https://tabiji.ai/compare/cusco-vs-arequipa/,2,29,6.9%,7.93
https://tabiji.ai/compare/alishan-vs-taroko-gorge/,2,29,6.9%,9.69
https://tabiji.ai/compare/incheon-vs-busan/,2,26,7.69%,10.31
https://tabiji.ai/compare/iceland-vs-scotland/,2,25,8%,7.96
https://tabiji.ai/compare/manado-vs-bali/,2,17,11.76%,5
https://tabiji.ai/compare/st-barts-vs-turks-and-caicos/,1,829,0.12%,7.03
https://tabiji.ai/compare/vietnam-vs-philippines/,1,814,0.12%,16.83
https://tabiji.ai/compare/tokyo-vs-taipei/,1,675,0.15%,7.94
https://tabiji.ai/compare/bali-vs-hawaii/,1,646,0.15%,9.97
https://tabiji.ai/compare/maldives-vs-hawaii/,1,584,0.17%,8.23
https://tabiji.ai/compare/greece-vs-spain/,1,564,0.18%,13.72
https://tabiji.ai/compare/,1,556,0.18%,6.09
https://tabiji.ai/compare/portugal-vs-morocco/,1,480,0.21%,9.38
https://tabiji.ai/compare/chennai-vs-mumbai/,1,410,0.24%,9.07
https://tabiji.ai/compare/aruba-vs-curacao/,1,375,0.27%,15.86
https://tabiji.ai/compare/st-maarten-vs-st-barts/,1,345,0.29%,7.13
