Top pages,Clicks,Impressions,CTR,Position
https://tabiji.ai/popular-picks/almaty-bookshops/,21,540,3.89%,10.04
https://tabiji.ai/popular-picks/amman-bookshops/,15,615,2.44%,8.5
https://tabiji.ai/popular-picks/gangnam-jjimjilbangs/,14,482,2.9%,6.83
https://tabiji.ai/popular-picks/tallinn-rooftop-bars/,12,866,1.39%,8.53
https://tabiji.ai/popular-picks/amman-jazz-bars/,12,240,5%,6.54
https://tabiji.ai/popular-picks/chengdu-tea-houses/,11,338,3.25%,8.61
https://tabiji.ai/popular-picks/amman-shawarma/,10,1083,0.92%,7.95
https://tabiji.ai/popular-picks/bucharest-cocktail-bars/,10,793,1.26%,9.8
https://tabiji.ai/popular-picks/amman-brunch-spots/,9,1516,0.59%,9.8
https://tabiji.ai/popular-picks/nara-mochi/,9,221,4.07%,7.83
https://tabiji.ai/popular-picks/almaty-cheap-eats/,8,1886,0.42%,8.71
https://tabiji.ai/popular-picks/amsterdam-stroopwafel/,8,1578,0.51%,35.39
https://tabiji.ai/popular-picks/baku-cheap-eats/,8,1182,0.68%,8.36
https://tabiji.ai/popular-picks/best-live-music-venues-in-dakar/,8,161,4.97%,7.24
https://tabiji.ai/popular-picks/almaty-jazz-bars/,8,154,5.19%,6.88
https://tabiji.ai/popular-picks/almaty-night-markets/,8,151,5.3%,5.39
https://tabiji.ai/popular-picks/seoul-budae-jjigae/,8,119,6.72%,8.71
https://tabiji.ai/popular-picks/casablanca-working-cafes/,7,10161,0.07%,7.38
https://tabiji.ai/popular-picks/bogota-arepas/,7,883,0.79%,8.49
https://tabiji.ai/popular-picks/adelaide-working-cafes/,7,648,1.08%,16.78
https://tabiji.ai/popular-picks/itaewon-rooftop-bars/,7,461,1.52%,7.61
https://tabiji.ai/popular-picks/chengdu-night-markets/,7,378,1.85%,9.61
https://tabiji.ai/popular-picks/beijing-cheap-eats/,6,536,1.12%,8.44
https://tabiji.ai/popular-picks/baku-tea-houses/,6,419,1.43%,6.3
https://tabiji.ai/popular-picks/casablanca-bookshops/,6,415,1.45%,6.99
https://tabiji.ai/popular-picks/antwerp-cheap-eats/,6,287,2.09%,10.33
https://tabiji.ai/popular-picks/gyeongju-temple-food/,6,225,2.67%,8.24
https://tabiji.ai/popular-picks/casablanca-jazz-bars/,6,174,3.45%,8.66
https://tabiji.ai/popular-picks/best-thieboudienne-in-dakar/,6,110,5.45%,5.66
https://tabiji.ai/popular-picks/chengdu-natural-wine-bars/,6,106,5.66%,6.44
https://tabiji.ai/popular-picks/almaty-working-cafes/,5,1538,0.33%,5.82
https://tabiji.ai/popular-picks/marrakech-hammams/,5,807,0.62%,24.48
https://tabiji.ai/popular-picks/harajuku-crepes/,5,691,0.72%,14.65
https://tabiji.ai/popular-picks/sofia-banitsa/,5,634,0.79%,7.97
https://tabiji.ai/popular-picks/prague-svickova/,5,569,0.88%,9.18
https://tabiji.ai/popular-picks/amsterdam-night-markets/,5,498,1%,8.76
https://tabiji.ai/popular-picks/istanbul-meyhanes/,5,478,1.05%,8.92
https://tabiji.ai/popular-picks/myeongdong-cat-cafes/,5,414,1.21%,13.62
https://tabiji.ai/popular-picks/xian-biangbiang-noodles/,5,404,1.24%,8.15
https://tabiji.ai/popular-picks/amman-rainbow-street-cafes/,5,373,1.34%,6.51
https://tabiji.ai/popular-picks/euljiro-pojangmacha/,5,260,1.92%,10.28
https://tabiji.ai/popular-picks/jeonju-makgeolli-bars/,5,218,2.29%,8.54
https://tabiji.ai/popular-picks/bali-jazz-bars/,5,215,2.33%,9
https://tabiji.ai/popular-picks/bali-natural-wine-bars/,5,172,2.91%,14.87
https://tabiji.ai/popular-picks/turin-aperitivo-scene/,5,155,3.23%,6.66
https://tabiji.ai/popular-picks/barranco-pisco-bars/,5,148,3.38%,7.76
https://tabiji.ai/popular-picks/okinawa-beach-bars/,5,122,4.1%,6.22
https://tabiji.ai/popular-picks/chengdu-jazz-bars/,5,116,4.31%,6.04
https://tabiji.ai/popular-picks/sindang-dong-tteokbokki/,5,95,5.26%,9.49
https://tabiji.ai/popular-picks/chengdu-photography-spots/,5,86,5.81%,11.71
https://tabiji.ai/popular-picks/chiang-mai-natural-wine-bars/,5,52,9.62%,7.94
https://tabiji.ai/popular-picks/casablanca-coffee-shops/,4,10337,0.04%,8.79
https://tabiji.ai/popular-picks/baku-food-halls/,4,3462,0.12%,5.6
https://tabiji.ai/popular-picks/baku-rooftop-bars/,4,1419,0.28%,7.38
https://tabiji.ai/popular-picks/almaty-bakeries/,4,774,0.52%,8.2
https://tabiji.ai/popular-picks/copenhagen-bakeries/,4,543,0.74%,16.2
https://tabiji.ai/popular-picks/accra-photography-spots/,4,519,0.77%,6.65
https://tabiji.ai/popular-picks/baku-bookshops/,4,303,1.32%,7.95
https://tabiji.ai/popular-picks/almaty-cocktail-bars/,4,300,1.33%,9.29
https://tabiji.ai/popular-picks/jeju-cafe-culture/,4,291,1.37%,8.9
https://tabiji.ai/popular-picks/akihabara-themed-cafes/,4,273,1.47%,9.79
https://tabiji.ai/popular-picks/accra-bookshops/,4,272,1.47%,10.99
https://tabiji.ai/popular-picks/kadikoy-street-food/,4,260,1.54%,7.84
