slug,url,keyword_1,vol_1,keyword_2,vol_2,best_keyword,best_vol,total_vol
england-vs-india,https://tabiji.ai/compare/england-vs-india/,england vs india,90500,india vs england,550000,india vs england,550000,640500
portugal-vs-spain,https://tabiji.ai/compare/portugal-vs-spain/,portugal vs spain,301000,spain vs portugal,165000,portugal vs spain,301000,466000
mexico-vs-usa,https://tabiji.ai/compare/mexico-vs-usa/,mexico vs usa,201000,usa vs mexico,165000,mexico vs usa,201000,366000
australia-vs-india,https://tabiji.ai/compare/australia-vs-india/,australia vs india,74000,india vs australia,201000,india vs australia,201000,275000
spain-vs-france,https://tabiji.ai/compare/spain-vs-france/,spain vs france,165000,france vs spain,60500,spain vs france,165000,225500
honduras-vs-mexico,https://tabiji.ai/compare/honduras-vs-mexico/,honduras vs mexico,49500,mexico vs honduras,165000,mexico vs honduras,165000,214500
brazil-vs-argentina,https://tabiji.ai/compare/brazil-vs-argentina/,brazil vs argentina,49500,argentina vs brazil,110000,argentina vs brazil,110000,159500
india-vs-south-africa,https://tabiji.ai/compare/india-vs-south-africa/,india vs south africa,110000,south africa vs india,40500,india vs south africa,110000,150500
mexico-vs-panama,https://tabiji.ai/compare/mexico-vs-panama/,mexico vs panama,135000,panama vs mexico,8100,mexico vs panama,135000,143100
guatemala-vs-usa,https://tabiji.ai/compare/guatemala-vs-usa/,guatemala vs usa,49500,usa vs guatemala,90500,usa vs guatemala,90500,140000
georgia-vs-texas,https://tabiji.ai/compare/georgia-vs-texas/,georgia vs texas,27100,texas vs georgia,110000,texas vs georgia,110000,137100
argentina-vs-colombia,https://tabiji.ai/compare/argentina-vs-colombia/,argentina vs colombia,90500,colombia vs argentina,40500,argentina vs colombia,90500,131000
colombia-vs-mexico,https://tabiji.ai/compare/colombia-vs-mexico/,colombia vs mexico,18100,mexico vs colombia,110000,mexico vs colombia,110000,128100
valencia-vs-barcelona,https://tabiji.ai/compare/valencia-vs-barcelona/,valencia vs barcelona,40500,barcelona vs valencia,74000,barcelona vs valencia,74000,114500
canada-vs-mexico,https://tabiji.ai/compare/canada-vs-mexico/,canada vs mexico,27100,mexico vs canada,74000,mexico vs canada,74000,101100
brazil-vs-colombia,https://tabiji.ai/compare/brazil-vs-colombia/,brazil vs colombia,60500,colombia vs brazil,33100,brazil vs colombia,60500,93600
denmark-vs-portugal,https://tabiji.ai/compare/denmark-vs-portugal/,denmark vs portugal,18100,portugal vs denmark,74000,portugal vs denmark,74000,92100
germany-vs-portugal,https://tabiji.ai/compare/germany-vs-portugal/,germany vs portugal,49500,portugal vs germany,40500,germany vs portugal,49500,90000
florida-vs-georgia,https://tabiji.ai/compare/florida-vs-georgia/,florida vs georgia,9900,georgia vs florida,74000,georgia vs florida,74000,83900
india-vs-new-zealand,https://tabiji.ai/compare/india-vs-new-zealand/,india vs new zealand,60500,new zealand vs india,22200,india vs new zealand,60500,82700
guatemala-vs-panama,https://tabiji.ai/compare/guatemala-vs-panama/,guatemala vs panama,60500,panama vs guatemala,18100,guatemala vs panama,60500,78600
japan-vs-mexico,https://tabiji.ai/compare/japan-vs-mexico/,japan vs mexico,4400,mexico vs japan,74000,mexico vs japan,74000,78400
dominican-republic-vs-mexico,https://tabiji.ai/compare/dominican-republic-vs-mexico/,dominican republic vs mexico,1300,mexico vs dominican republic,74000,mexico vs dominican republic,74000,75300
barcelona-vs-mallorca,https://tabiji.ai/compare/barcelona-vs-mallorca/,barcelona vs mallorca,40500,mallorca vs barcelona,33100,barcelona vs mallorca,40500,73600
ecuador-vs-mexico,https://tabiji.ai/compare/ecuador-vs-mexico/,ecuador vs mexico,9900,mexico vs ecuador,60500,mexico vs ecuador,60500,70400
costa-rica-vs-usa,https://tabiji.ai/compare/costa-rica-vs-usa/,costa rica vs usa,8100,usa vs costa rica,60500,usa vs costa rica,60500,68600
madrid-vs-barcelona,https://tabiji.ai/compare/madrid-vs-barcelona/,madrid vs barcelona,49500,barcelona vs madrid,18100,madrid vs barcelona,49500,67600
netherlands-vs-spain,https://tabiji.ai/compare/netherlands-vs-spain/,netherlands vs spain,18100,spain vs netherlands,49500,spain vs netherlands,49500,67600
argentina-vs-uruguay,https://tabiji.ai/compare/argentina-vs-uruguay/,argentina vs uruguay,22200,uruguay vs argentina,40500,uruguay vs argentina,40500,62700
chile-vs-argentina,https://tabiji.ai/compare/chile-vs-argentina/,chile vs argentina,40500,argentina vs chile,22200,chile vs argentina,40500,62700
armenia-vs-portugal,https://tabiji.ai/compare/armenia-vs-portugal/,armenia vs portugal,18100,portugal vs armenia,40500,portugal vs armenia,40500,58600
brazil-vs-ecuador,https://tabiji.ai/compare/brazil-vs-ecuador/,brazil vs ecuador,18100,ecuador vs brazil,40500,ecuador vs brazil,40500,58600
croatia-vs-france,https://tabiji.ai/compare/croatia-vs-france/,croatia vs france,14800,france vs croatia,40500,france vs croatia,40500,55300
mexico-vs-uruguay,https://tabiji.ai/compare/mexico-vs-uruguay/,mexico vs uruguay,49500,uruguay vs mexico,5400,mexico vs uruguay,49500,54900
ireland-vs-portugal,https://tabiji.ai/compare/ireland-vs-portugal/,ireland vs portugal,27100,portugal vs ireland,27100,ireland vs portugal,27100,54200
costa-rica-vs-mexico,https://tabiji.ai/compare/costa-rica-vs-mexico/,costa rica vs mexico,2900,mexico vs costa rica,49500,mexico vs costa rica,49500,52400
barcelona-vs-guadalajara,https://tabiji.ai/compare/barcelona-vs-guadalajara/,barcelona vs guadalajara,1900,guadalajara vs barcelona,49500,guadalajara vs barcelona,49500,51400
costa-rica-vs-honduras,https://tabiji.ai/compare/costa-rica-vs-honduras/,costa rica vs honduras,18100,honduras vs costa rica,33100,honduras vs costa rica,33100,51200
panama-vs-usa,https://tabiji.ai/compare/panama-vs-usa/,panama vs usa,5400,usa vs panama,40500,usa vs panama,40500,45900
