tier,total_vol,best_vol,best_keyword,slug,url,vol_1,vol_2,keyword_1,keyword_2,likely_sports
1,640500,550000,india vs england,england-vs-india,https://tabiji.ai/compare/england-vs-india/,90500,550000,england vs india,india vs england,yes
1,466000,301000,portugal vs spain,portugal-vs-spain,https://tabiji.ai/compare/portugal-vs-spain/,301000,165000,portugal vs spain,spain vs portugal,yes
1,366000,201000,mexico vs usa,mexico-vs-usa,https://tabiji.ai/compare/mexico-vs-usa/,201000,165000,mexico vs usa,usa vs mexico,yes
1,275000,201000,india vs australia,australia-vs-india,https://tabiji.ai/compare/australia-vs-india/,74000,201000,australia vs india,india vs australia,yes
1,225500,165000,spain vs france,spain-vs-france,https://tabiji.ai/compare/spain-vs-france/,165000,60500,spain vs france,france vs spain,yes
1,214500,165000,mexico vs honduras,honduras-vs-mexico,https://tabiji.ai/compare/honduras-vs-mexico/,49500,165000,honduras vs mexico,mexico vs honduras,yes
1,159500,110000,argentina vs brazil,brazil-vs-argentina,https://tabiji.ai/compare/brazil-vs-argentina/,49500,110000,brazil vs argentina,argentina vs brazil,yes
1,150500,110000,india vs south africa,india-vs-south-africa,https://tabiji.ai/compare/india-vs-south-africa/,110000,40500,india vs south africa,south africa vs india,yes
1,143100,135000,mexico vs panama,mexico-vs-panama,https://tabiji.ai/compare/mexico-vs-panama/,135000,8100,mexico vs panama,panama vs mexico,yes
1,140000,90500,usa vs guatemala,guatemala-vs-usa,https://tabiji.ai/compare/guatemala-vs-usa/,49500,90500,guatemala vs usa,usa vs guatemala,yes
1,137100,110000,texas vs georgia,georgia-vs-texas,https://tabiji.ai/compare/georgia-vs-texas/,27100,110000,georgia vs texas,texas vs georgia,yes
1,131000,90500,argentina vs colombia,argentina-vs-colombia,https://tabiji.ai/compare/argentina-vs-colombia/,90500,40500,argentina vs colombia,colombia vs argentina,yes
